,idx
0,617058
1,668827
2,790673
3,794659
4,806356
5,806357
6,1010022
7,1010355
8,1028814
9,1030869
10,1040213
11,1089316
12,1089341
13,1557852
14,1557854
15,1557936
16,1558290
17,1558513
18,1558514
19,1624955
20,1624959
21,1625601
22,1625677
23,1626246
24,1626326
25,1626964
26,1627731
27,1627751
28,1628482
29,1629189
30,1629222
31,1629977
32,1630065
33,1630547
34,1631567
35,1631614
36,1631699
37,1631760
38,1631818
39,1631872
40,1631882
41,1631887
42,1631888
43,1632039
44,1632111
45,1632112
46,1632114
47,1632159
48,1632275
49,1632276
50,1632407
51,1632463
52,1632562
53,1632620
54,1632621
55,1632761
56,1632821
57,1632822
58,1632876
59,1632877
60,1632878
61,1632922
62,1633053
63,1633054
64,1633169
65,1633231
66,1633387
67,1633390
68,1633391
69,1633417
70,1633583
71,1633632
72,1633762
73,1633911
74,1633913
75,1633964
76,1633965
77,1634139
78,1634196
79,1634197
80,1634241
81,1634300
82,1634506
83,1634602
84,1634603
85,1634888
86,1634981
87,1634982
88,1648381
89,1872934
90,1919377
91,1919384
92,1919435
93,1919439
94,1919440
95,1919512
96,1919516
97,1919517
98,1919610
99,1988385
100,1988388
101,1988389
102,1988391
103,1988856
104,1988875
105,1991102
106,1997512
107,1997519
108,1997526
109,1997571
110,1997575
111,1997602
112,2001164
113,2001226
114,2003866
115,2003932
116,2003964
117,2050974
118,2051042
119,2051292
120,2051426
121,2052052
122,2052171
123,2052176
124,2052809
125,2054297
126,2054302
127,2055033
128,2055038
129,2055047
130,2055049
131,2055052
132,2055055
133,2055057
134,2055059
135,2055065
136,2055069
137,2055071
138,2055077
139,2055079
140,2055085
141,2055093
142,2055211
143,2055270
144,2055366
145,2055368
146,2058943
147,2058944
148,2058946
149,2058983
150,2059002
151,2059038
152,2059243
153,2059257
154,2059265
155,2059270
156,2059280
157,2059286
158,2059288
159,2059295
160,2059297
161,2059305
162,2059323
163,2059327
164,2059328
165,2059729
166,2061129
167,2061138
168,2062608
169,2062613
170,2064097
171,2064462
172,2064664
173,2065182
174,2065184
175,2065185
176,2065186
177,2065188
178,2065189
179,2065190
180,2065192
181,2065193
182,2065196
183,2065392
184,2065393
